,Unnamed: 0,prod,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,POPIS,description
1540,1540,292243,5450625.0,1116290.0,BEL,0.2048003669303978,0.335584336811206,0.2258908209571376,Kyselina anthranilová a její soli,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters: anthranilic acid and its esters: salts thereof"
1541,1541,292244,6467831.0,5661529.0,DEU,0.8753365695547703,0.7492972179739518,0.9684063218460311,Tilidin (INN) a jeho soli,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters: tilidine (INN) and its esters: salts thereof"
1542,1542,292249,4778670062.0,1245447493.0,DEU,0.2606263828306127,0.1607938588751789,0.1703472513248765,"Aminokyseliny ostatní,estery,soli","Amino-acids, other than those containing more than one kind of oxygen function, their esters: salts thereof, excluding lysine, glutamic acid, anthranalic acid and tilidine, their esters and salts thereof"
1543,1543,292250,2701326859.0,906912111.0,IRL,0.3357283876915689,0.1892974542658758,0.1392360924038204,"Aminoalkoholfenoly,-kyselinfenoly aj slouč.","Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function"
1544,1544,292310,330531932.0,133086378.0,BEL,0.4026430281477313,0.2300448181355374,0.312778582781671,"Cholin,soli","Quaternary ammonium salts and hydroxides: choline and its salts, whether or not chemically defined"
1545,1545,292320,1698560945.0,708095872.0,NLD,0.4168798735685047,0.0958438437090754,0.2742881951718204,Lecithiny aj fosfoaminolipidy,"Lecithins and other phosphoaminolipids, whether or not chemically defined"
1546,1546,292330,2981252.9999999995,1455341.0,SWE,0.4881642047823517,0.1903407440843189,0.2234702878465386,Tetraethylamonium-perfluoroktansulfonát,"Quaternary ammonium salts and hydroxides: tetraethylammonium perfluorooctane sulphonate, whether or not chemically defined"
1547,1547,292340,1971440.0,957420.0,NLD,0.4856450107535608,0.3128563210065372,0.4549277591564904,Didecyldimethylamonium-perfluoroktansulfonát,"Quaternary ammonium salts and hydroxides: didecyldimethylammonium perfluorooctane sulphonate, whether or not chemically defined"
1548,1548,292390,1136171088.0,374940696.0,NLD,0.3300037291566778,0.1440740289328758,0.1316277208647871,"Kvarterní amoniové soli a hydroxidy (kromě<br>cholinu a jeho solí, lecithinu a<br>ostatních fosfoaminolipidů, tetraethylamoniu",Quaternary ammonium salts and hydroxides: whether or not chemically defined n.e.c. in heading no. 2923
1549,1549,292411,9547792.0,3306206.0,DEU,0.3462796424555541,0.2032316148302528,0.4246500551013499,Meprobamat (INN),Acyclic amides (including acyclic carbamates) and their derivatives: salts thereof: meprobamate (INN)
1550,1550,292412,687180.0,233068.0,NLD,0.3391658662941296,0.2493465988154966,0.4752060429471595,"Fluoracetamid (ISO),monokrotofos (ISO),fosfamidon (ISO)","Acyclic amides (including acyclic carbamates) and their derivatives: salts thereof: fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)"
1551,1551,292419,2530764005.0,860581558.0,DEU,0.3400481262969441,0.1426614282557808,0.202401953515489,Ostatní acyklické amidy,"Acyclic amides (including acyclic carbamates) and their derivatives: salts thereof, other than meprobamate (INN), fluoroacetamide (ISO), monocrotophos (ISO) or phosphamidon (ISO)"
1552,1552,292421,185606529.0,62316727.0,DEU,0.3357464165498187,0.1994559528063621,0.4022347009120437,"Ureiny,deriváty,soli","Cyclic amides (including cyclic carbamates) and their derivatives, ureines and their derivatives: salts thereof"
1553,1553,292423,1677481.0,621083.0,ESP,0.3702474126383547,0.3399983946531489,0.408889701028777,2-acetamidobenzoová kyselina,Cyclic amides (including cyclic carbamates) and their derivatives: 2-acetamidobenzoic acid (N-acetylanthranillic acid) and its salts
1554,1554,292424,49715.0,49036.0,IRL,0.986342150256462,0.972967614689661,1.0,Ethinamát,Cyclic amides (including cyclic carbamates) and their derivatives: ethinamate and its salts
1555,1555,292425,6815560.999999999,134393.0,NLD,0.0197185528821471,0.496495935428996,0.244255465213273,Alachlor (ISO),Cyclic amides (including cyclic carbamates) and their derivatives: alachlor (ISO) and its salts
1556,1556,292429,6140350916.0,904953389.0,ITA,0.1473781224199988,0.1726973887299555,0.2109724123425798,"Cyklické amidy, včetně cyklických karbamátů, jejich<br>deriváty a soli (kromě ureinů, jejich<br>derivátů a solí, 2-acetamidobe","Cyclic amides (including cyclic carbamates) and their derivatives: other than the derivatives and salts of ureines, 2-acetamidobenzoic acid (N-acetylanthancillic acid),ethinamate S, and alachlor (ISO) and their derivatives and salts"
1557,1557,292511,168261200.0,24790818.0,DEU,0.1473353215120301,0.3487637636605304,0.2592174614021761,"Sacharin,soli",Imides and their derivatives: saccharin and its salts
1558,1558,292512,940450.0,230026.0,DEU,0.2445914190015417,0.4710578118673081,0.8406566107873557,Glutethimid,Imides and their derivatives: glutethimide (INN)
1559,1559,292519,315671767.0,75268193.0,DEU,0.2384381527537747,0.133475291576304,0.1768510128644954,"Imidy ostatní,deriváty,soli,ne sacharin",Imides and their derivatives: other than saccharin and glutethimide (INN)
1560,1560,292521,1580427.0,1366449.0,ESP,0.8646074763339274,0.4052077248320022,0.5374053182971974,Chlordimeform (ISO),Imines and their derivatives: salts thereof: chlordimeform (ISO)
1561,1561,292529,1712800153.0,653998208.0,FRA,0.3818298397828319,0.1498992576945229,0.2310780340870489,"Iminy,deriváty,soli,ost.",Imines and their derivatives: salts thereof: other than chlordimeform (ISO)
1562,1562,292610,1999737142.0,567791013.0,NLD,0.2839328235070607,0.1414677313423056,0.4296834519682526,Akrylonitril,Nitrile-function compounds: acrylonitrile
1563,1563,292620,229241089.0,63272628.0,DEU,0.2760091058544919,0.5544126598504846,0.8850412564689681,1-kyanoguanidin(dikyandiamid),Nitrile-function compounds: 1-cyanoguanidine (dicyandiamide)
1564,1564,292630,3277265.0,568447.0,DEU,0.173451643367259,0.1763606415275274,0.9700387788661834,"Fenoproporex (INN),soli; meziprodukt methadonu (INN) (4,4-difenyl-2-dimethylamino-4-kyanobutan)","Nitrile-function compounds: fenproporex (INN) and its salts: methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane)"
1565,1565,292640,2041367.0,264980.0,DEU,0.1298051746697188,0.4751300878099969,0.4543766692622786,Alfa-fenylacetoacetonitril,Nitrile-function compounds: alpha-phenylacetoacetonitrile
1566,1566,292690,2647952980.0,880875101.0,DEU,0.3326626672200199,0.1611171180164331,0.209485563071064,"Sloučeniny s nitrilovou funkcí (kromě akrylonitrilu,<br>1-kyanoguanidinu (dikyandiamidu), fenproporexu a jeho solí<br>a mezip",Nitrile-function compounds: n.e.c. heading no. 2926
1567,1567,292700,577214093.0,56138329.0,DEU,0.097257377601832,0.2219624889783314,0.1689102208451378,"Diazo-,azo-,azoxysloučeniny","Diazo-, azo- or azoxy compounds"
1568,1568,292800,1797527668.0,464866232.0,ITA,0.2586142290189215,0.1914671690481326,0.1602106282317826,"Deriváty hydrazinu,hydroxylaminu organické",Organic derivatives of hydrazine or of hydroxylamine
1569,1569,292910,5782157594.0,2099586212.0,HUN,0.3631146640103148,0.1188229947925681,0.2452950817752256,Isokyanáty,"Nitrogen-function compounds: n.e.c. in chapter 29, isocyanates"
1570,1570,292990,668389765.0,157986464.0,DEU,0.2363687660597256,0.1593061432750055,0.2446304243692892,Sloučeniny s jinou dusíkatou funkcí ostatní,"Nitrogen-function compounds: n.e.c. in chapter 29, excluding isocyanates"
1571,1571,293010,7106340.0,3096166.0,BGR,0.4356906649555186,0.1106486493195439,0.1999237279229632,"2-(N,N-Dimethylamino)ethanthiol","Organo-sulphur compounds: 2-(N,N-Diethylamino) ethanethiol"
1572,1572,293020,389263675.0,102332018.0,DEU,0.262886122112473,0.2005152363455564,0.2211695870802276,"Thiokarbamáty,dithiokarbamáty",Organo-sulphur compounds: thiocarbamates and dithiocarbamates
1573,1573,293030,51015175.0,17848059.0,BEL,0.349857841318784,0.2863465835855346,0.2324620721289615,"Thiurammono-,thiuramdi-,thiuramtetrasulfidy","Organo-sulphur compounds: thiuram mono-, di- or tetrasulphides"
1574,1574,293040,1949735010.0,603236859.0,BEL,0.3093942796872689,0.1515839214952875,0.3375590279128229,Methionin,Organo-sulphur compounds: methionine
1575,1575,293060,2292628.0,848248.0,CZE,0.3699893746390605,0.2805972219148254,0.4575476962380506,"2-(N,N-Diethylamino)ethanthiol","Organo-sulphur compounds: 2-(N,N-Diethylamino)ethanethiol"
1576,1576,293070,3491613.0,1657161.0,DEU,0.4746118770894713,0.3789374712673932,0.8802873284698144,Bis(2-hydroxyethyl)sulfid (thiodiglykol (INN)),Organo-sulphur compounds: bis(2-hydroxyethyl)sulfide (thiodiglycol (INN))
1577,1577,293080,10648602.0,997327.0,NLD,0.0936580219638221,0.5518251555800521,0.4279503755938757,"Aldikarb (ISO), kaptafol (ISO) a methamidofos<br>(ISO)","Organo-sulphur compounds: aldicarb (ISO), captafol (ISO) and methamidophos (ISO)"
1578,1578,293090,5834969525.0,1126297622.0,DEU,0.1930254506342087,0.1821230080843906,0.1621334446773218,"Organické sloučeniny síry (kromě 2-(N,N-Dimethylamino)ethanthiolu, thiokarbamátů<br>a dithiokarbamátů, thiurammonosulfidů,",Organo-sulphur compounds: n.e.c. in heading no. 2930
1579,1579,293110,38614255.0,30558437.0,DEU,0.7913770963598805,0.4849282610485592,0.7537484829528689,Tetramethylolovo a tetraethylolovo sloučeniny,Organo-inorganic compounds: tetramethyl lead and tetraethyl lead
1580,1580,293120,12492700.0,4435080.0,DEU,0.355013728017162,0.1825154867031362,0.5080987529341437,Sloučeniny tributylcínu,Organo-inorganic compounds: tributyltin compounds
1581,1581,293141,13512889.0,3877960.0,BEL,0.2869823026001323,0.3453643283821768,0.271503892790934,Dimethyl-methylfosfonát,Non-halogenated organo-phosphorous derivatives: dimethyl methylphosphonate
1582,1582,293142,2964112.0,2764440.0,AUT,0.93263682343987,0.8270307927766228,0.9466714292992152,Dimethyl-propylfosfonát,Non-halogenated organo-phosphorous derivatives: dimethyl propylphosphonate
1583,1583,293143,1263413.0,487566.0,DEU,0.3859118118936563,0.4000308502083655,0.5705343608536757,Diethyl-ethylfosfonát,Non-halogenated organo-phosphorous derivatives: diethyl ethylphosphonate
1584,1584,293144,10503045.0,2564626.0,DEU,0.2441792832459539,0.4097468019552416,0.5949580620317168,Methylfosfonová kyselina,Non-halogenated organo-phosphorous derivatives: methylphosphonic acid
1585,1585,293145,4475582.0,3335077.0,DEU,0.7451716894026297,0.4468059915236024,0.778915116491901,Sůl methylfosfonové kyseliny a (aminoiminomethyl)močoviny (1<br>: 1),Non-halogenated organo-phosphorous derivatives: salt of methylphosphonic acid and (aminominomethyl) urea (1:1)
1586,1586,293146,2613075.0,2559650.0,DEU,0.9795547391483216,0.8704926431311611,0.9070003002860376,"2,4,6-Tripropyl-1,3,5,2,4,6-trioxatrifosfinan-2,4,6-trioxid","Non-halogenated organo-phosphorous derivatives: 2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide"
1587,1587,293147,193689.0,85820.0,SVN,0.4430814346710448,0.2010214911066323,0.5088284677283008,"(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxafosfinan-5-yl)methyl-methyl-methylfosfonát","Non-halogenated organo-phosphorous derivatives: (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl) methyl methyl methylphosphonate"
1588,1588,293148,888207.0,111353.0,ITA,0.1253682981557227,0.4354253620200883,0.6004584231545669,"3,9-Dimethyl-2,4,8,10-tetraoxa-3,9-difosfaspiro[5.5]undekan-3,9-dioxid","Non-halogenated organo-phosphorous derivatives: 3,9-dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane 3,9-dioxide"
1589,1589,293149,3572459206.0,600895798.0,DEU,0.1682022840151082,0.31305098897569,0.2881438439691223,"Samostatné chemicky definované nehalogenované organofosforečné deriváty,<br>jinde neuvedené ani nezahrnuté","Non-halogenated organo-phosphorous derivatives: other non-halogenated organo-phosphorous derivatives, n.e.c. in item no. 2931.4"
1590,1590,293151,15755.0,3668.0,ITA,0.232814979371628,0.4919732201300036,1.0,Methylfosfonoyldichlorid,Halogenated organo-phosphorous derivatives: methylphosphonic dichloride
1591,1591,293152,1185820.0,1168021.0,NLD,0.9849901334097924,0.5065064509891293,0.521971825393003,Propylfosfonoyldichlorid,Halogenated organo-phosphorous derivatives: propylphosphonic dichloride
1592,1592,293153,41682.0,35603.0,ITA,0.8541576699774484,0.7326558606913438,0.98932812745236,O-(3-chlorpropyl)-O-[4-nitro-3-(trifluormethyl)fenyl]-methylfosfonothionát,Halogenated organo-phosphorous derivatives: O-(3-chloropropyl) O-[4-nitro-3-(trifluoromethyl)phenyl] methylphosphonothionate
1593,1593,293154,1655054.0,8194.0,DEU,0.0049508958620081,0.9684027542040876,0.8704834359412988,Trichlorfon (ISO),Halogenated organo-phosphorous derivatives: trichlorfon (ISO)
1594,1594,293159,104038253.0,9910177.0,DEU,0.0952551269771898,0.4133856553522962,0.2288507223848959,"Samostatné chemicky definované halogenované organofosforečné deriváty,<br>jinde neuvedené ani nezahrnuté","Halogenated organo-phosphorous derivatives: other halogenated organo-phosphorous derivatives, n.e.c. in item no. 2931.5"
1595,1595,293190,4221024755.0,1110050552.0,DEU,0.2629812939820107,0.1495496197359187,0.348183898154066,"Organicko-anorganické sloučeniny, ostatní (kromě organických sloučenin<br>síry, rtuti, tetramethylolova a tetraethylolova a","Organo-inorganic compounds: other than tetramethyl lead, tetraethyl lead, tributyltin compounds, and other organo-phosphorous derivatives"
1596,1596,293211,340987331.0,127674950.0,DEU,0.3744272540143141,0.1373295236460981,0.340865067423992,Tetrahydrofuran,"Heterocyclic compounds: with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, tetrahydrofuran"
1597,1597,293212,91400578.0,23898147.0,AUT,0.2614660379937641,0.1827240063574929,0.4217747101067133,2-furaldehyd(furfural),"Heterocyclic compounds: with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, 2-furaldehyde (furfuraldehyde)"
1598,1598,293213,168205668.0,46605971.0,BEL,0.2770772920684218,0.4157736491565238,0.4706570744386598,"Furfurylalkohol,tetrahydrofurfurylalkohol","Heterocyclic compounds: with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, furfuryl alcohol and tetrahydrofurfuryl alcohol"
1599,1599,293214,555177295.0,61673035.0,NLD,0.1110870987618468,0.4074471946717902,0.2401845818642508,Sukralóza,"Heterocyclic compounds: with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, sucralose"
1600,1600,293219,3053672310.0,2542774652.0,DEU,0.8326940135891661,0.4033502485764219,0.5701908016221597,"Heterocyklické sloučeniny pouze s kyslíkatým(i) heteroatomem<br>(heteroatomy), obsahující ve struktuře nekondenzovaný furan","Heterocyclic compounds: with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, n.e.c. in item no. 2932.1"
1601,1601,293220,2197010969.0,546723517.0,DEU,0.2488487880644714,0.2397939175843149,0.1513737255088598,Laktony,"Heterocyclic compounds: with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, lactones"
1602,1602,293291,663949.0,270591.0,NLD,0.40754786888752,0.3307063311647871,0.7649211288548758,Isosafrol,"Heterocyclic compounds: with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), isosafrole"
1603,1603,293292,9035992.0,7091747.0,ESP,0.7848332535044299,0.5471969423764796,0.8312904856487285,"1-(1,3-benzodioksol-5-yl)-2-propanon","Heterocyclic compounds: with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), 1-(1,3-Benzodioxol-5-yl)propan-2-one"
1604,1604,293293,46530565.0,10769093.0,ESP,0.231441268766025,0.4728827489162611,0.2727586377187275,Piperonal,"Heterocyclic compounds: with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), piperonal"
1605,1605,293294,201593.0,33781.0,NLD,0.1675703025402667,0.6991304393348889,0.5123530761629173,Safrol,"Heterocyclic compounds: with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), safrole"
1606,1606,293295,31354849.0,19363345.0,DEU,0.6175550390945911,0.1488712730100941,0.2955973022903108,Tetrahydrocannabinoly,"Heterocyclic compounds: with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), tetrahydrocannabinols (all isomers)"
1607,1607,293296,19559747.0,471083.0,ESP,0.024084309474964,0.4028941849846701,0.3537342201594275,Karbofuran (ISO),"Heterocyclic compounds: with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), carbofuran (ISO)"
1608,1608,293299,3847100394.0,1495453788.0,IRL,0.3887223193687209,0.1086383492247664,0.1306310518424724,Heterocyklické sloučeniny pouze s kyslíkatým(i) heteroatomem<br>(heteroatomy) (kromě sloučenin obsahujících ve struktuře<br>ne,"Heterocyclic compounds: with oxygen hetero-atom(s) only, no lactones or unfused furan rings in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers), carbofuran (ISO)"
1609,1609,293311,74340721.0,36824066.0,DEU,0.4953417925553883,0.2938479127135925,0.6525311853777281,"Fenazon(antipyrin),deriváty","Heterocyclic compounds: with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, phenazone (antipyrin) and its derivatives"
1610,1610,293319,7087387031.0,2144611299.0,IRL,0.3025954825974001,0.2623722418198898,0.4002887986439454,Sloučeniny s pyrazolovým nekondenz.kruhem ost,"Heterocyclic compounds: with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, other than henazone (antipyrin) and its derivatives"
1611,1611,293321,99168104.0,28278409.0,NLD,0.2851562938018861,0.1788179067876928,0.1480775801769425,"Hydantoin,deriváty","Heterocyclic compounds: with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, hydantoin and its derivatives"
1612,1612,293329,1832872929.0,707994035.0,FRA,0.3862755697888317,0.1093427825168315,0.1766440789720324,Sloučeniny s imidazolovým nekonden.kruhem ost,"Heterocyclic compounds: with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, other than hydantoin and its derivatives"
1613,1613,293331,111709805.0,13209894.0,DEU,0.1182518759208289,0.2537880845764307,0.1979056179233808,"Pyridin,soli","Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, pyridine and its salts"
1614,1614,293332,39001128.0,5447243.0,DEU,0.13966885778278,0.3722953578486997,0.2436612425238755,Piperidin a jeho soli,"Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, piperidine and its salts"
1615,1615,293333,86777647.0,30945298.0,DEU,0.3566044836408159,0.1344333129029595,0.2374515060335346,"Alfentanil (INN), anileridin (INN), bezitramid (INN),<br>bromazepam (INN), karfentanil (INN), difenoxin (INN),<br>difenoxylát","Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), carfentanil (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN)"
1616,1616,293334,4970177.0,118614.0,DEU,0.0238651460501306,0.4627019632618604,0.41881682210166,"Fentanyly a jejich deriváty, pouze s<br>dusíkatým(i) heteroatomem (heteroatomy), obsahující ve struktuře<br>nekondenzovaný py","Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, other fentanyls and their derivatives"
1617,1617,293335,1099442.0,597587.0,LVA,0.5435366303997846,0.290659650694414,0.3231450484022562,3-Chinuklidinol,"Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, 3-quinuclidinol"
1618,1618,293336,85771.0,41678.0,POL,0.4859218150656982,0.3518018444033038,0.691439378174822,4-Anilino-N-fenethylpiperidin (ANPP),"Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, 4-anilino-N-phenethylpiperidine (ANPP)"
1619,1619,293337,3191562.0,2611789.0,NLD,0.818341927871055,0.5676609377909665,0.8166413210207785,N-Fenethyl-4-piperidon (NPP),"Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, N-phenethyl-4-piperdone (NPP)"
1620,1620,293339,13178126461.0,5961604003.0,IRL,0.4523863100451393,0.1130242688131338,0.1965507488062173,"Heterocyklické sloučeniny pouze s dusíkatým(i) heteroatomem<br>(heteroatomy), obsahující ve struktuře nekondenzovaný pyridi","Heterocyclic compounds: containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3"
1621,1621,293341,3294520.9999999995,1551080.9999999998,IRL,0.4708062264590208,0.3799008585633096,0.9497061290640372,Levorfanol (INN) a jeho soli,"Heterocyclic compounds: containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, levorphanol (INN) and its salts"
