,prod,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,POPIS,description
75,20743,47789912.0,45737079.0,BGR,0.9570446373703304,0.2795924269791045,0.3047349851563245,"Tučná játra z kachen, čerstvá nebo chlazená","Meat and edible offal: of ducks, fatty livers (foie gras), fresh or chilled"
76,20744,162163063.0,160687652.0,FRA,0.9909016827093357,0.2545415787177272,0.25917216268628923,"Maso z kachen ostatní, čerstvé nebo chlazené","Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, fresh or chilled"
77,20745,486214444.0,415685536.0,BGR,0.8549427955702608,0.14617737975527412,0.19370759041553998,"Maso z kachen ostatní, zmrazené","Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, frozen"
78,20751,97176338.00000001,5798187.0,HUN,0.05966665465414018,0.8840956877938901,0.5377575406525741,"Maso z hus, nedělené, čerstvé nebo chlazené","Meat and edible offal: of geese, not cut in pieces, fresh or chilled"
79,20752,44404597.0,44159672.0,POL,0.9944842422508643,0.4503568756208654,0.4553602270141856,"Maso z hus, nedělené, zmrazené","Meat and edible offal: of geese, not cut in pieces, frozen"
80,20753,11890779.0,11463250.0,HUN,0.9640453329424422,0.5000542815150878,0.5369332519326048,"Tučná játra z hus, čerstvá nebo chlazená","Meat and edible offal: of geese, fatty livers (foie gras), fresh or chilled"
81,20754,12548902.0,10626511.0,POL,0.8468080314915202,0.3218657117159103,0.4219739633496731,"Maso z hus ostatní, čerstvé nebo chlazené","Meat and edible offal: of geese, cuts and offal, excluding fatty livers, fresh or chilled"
82,20755,131618551.99999999,128296995.99999999,POL,0.9747637703839805,0.4247670701539328,0.4467971852550383,"Maso z hus ostatní, zmrazené","Meat and edible offal: of geese, cuts and offal, excluding fatty livers, frozen"
83,20760,56230068.0,41028751.0,FRA,0.7296585698598124,0.3087797506567743,0.4792102437959487,Maso z perliček,"Meat and edible offal: of guinea fowls, fresh, chilled or frozen"
84,20810,145650973.0,119163125.0,ESP,0.8181416336985267,0.1348900169641283,0.1683891560415498,"Maso,droby králičí,zaječí,čerst,chlaz,zmraz","Meat and edible meat offal: of rabbits or hares, fresh, chilled or frozen"
