,HS_ID,Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR 2022-2030 Předpověď,loc,prod,CZ Export 2022 CZK,time,diversity,ubiquity,mcp,eci,Komplexita výrobku 2022,density,coi,cog,Výhoda CZ 2022,Název Produktu,description,Příbuznost CZ 2022,Světový export 2022 CZK,EU Export 2022 CZK,EU Největší Exportér 2022,EU Světový Podíl 2022 %,Koncentrace světového trhu 2022,Koncentrace evropského exportu 2022,CZ Světový Podíl 2022 %,CZ-EU Podíl 2022 %,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile,CZ 2030 Export CZK,EU 2030 Export CZK,CZ Celkový Export 25-30 CZK,EU Celkový Export 25-30 CZK
10,850433,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.058,Y,0.058,CZE,850433.0,18791362.0,2023.0,1341.0,27.0,0.0,1.602259514841681,0.7012980581418545,0.3021020450262089,1.3773197299057687,-0.058921082789133376,0.9300794552735652,"Transformátory 16-500kVA,bez kapal.dielektr.","Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 16kVA but not exceeding 500kVA",0.30210204502620885,1853896205.0,464764839.0,ITA,0.2506962567518714,0.0978466590446221,0.13258800905758053,0.010136145674886906,0.040431978547327246,2216.0,39.5290759900107,4061.0,72.44024259721726,4411.0,78.68355333571174,29501466.195464235,729656753.2783881,154451437.95301044,3820031655.6910243
11,850432,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.058,Y,0.058,CZE,850432.0,29205868.0,2023.0,1341.0,30.0,1.0,1.602259514841681,0.6943258815038136,0.3354549510716454,1.3773197299057687,-0.0,2.886678416271326,"Transformátory 1-16kVA,bez kapal.dielektrika","Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 1kVA but not exceeding 16kVA",0.33545495107164536,928365346.0,251890937.0,DEU,0.27132737998602546,0.0932574786337618,0.13670811637125063,0.0314594551873762,0.11594648202845027,2211.0,39.43988583660364,4902.0,87.44202640028541,4693.0,83.71387798787015,45851701.83572594,395455739.8686328,240051163.36249673,2070361766.5915418
12,850434,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.058,Y,0.058,CZE,850434.0,28894883.0,2023.0,1341.0,28.0,1.0,1.602259514841681,0.806349090190197,0.32640308572558246,1.3773197299057687,-0.0,1.242765207973143,"Transformátory nad 500kVA,bez kapal.dielektr.","Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 500kVA",0.3264030857255825,2133433261.0,819339579.0,ITA,0.38404743845418093,0.09811916500693416,0.2388242452706852,0.013543841997877242,0.035266065182968535,2350.0,41.919372101320015,4655.0,83.03603282197646,4680.0,83.48198358901178,45363471.47409508,1286320751.655702,237495091.03352895,6734380198.112526
13,850431,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.058,Y,0.058,CZE,850431.0,123102163.0,2023.0,1341.0,31.0,1.0,1.602259514841681,0.2946267152434574,0.3314090447870883,1.3773197299057687,-0.0,2.0901787784240717,"Transformátory do 1kVA,bez kapal.dielektrika","Electrical transformers: n.e.c. in item no. 8504.2, having a power handling capacity not exceeding 1kVA",0.33140904478708827,5404175666.0,1500679696.0,DEU,0.27768891848601873,0.18543030547172026,0.13896235212588717,0.02277908243702898,0.08203093793307376,1791.0,31.947912950410274,4797.0,85.56903317873706,5272.0,94.04209775240814,193264027.39370504,2355989487.1783934,1011810963.4882176,12334504383.13554
14,730820,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,LSE Navigator,IN,0.084,Y,0.084,CZE,730820.0,33310086.000000004,2023.0,1341.0,20.0,0.0,1.602259514841681,0.784374441342889,0.27388348853739786,1.3773197299057687,-0.05648670877011611,0.719349526427547,"Věže,stožáry,sloupy,pilíře z železa,oceli","Iron or steel: structures and parts thereof, towers and lattice masts",0.2738834885373979,4248963493.0,1518780544.0,DEU,0.35744730367821026,0.10057129626451836,0.16041242410138615,0.00783957924206152,0.021932125830550542,2327.0,41.50909739564752,3079.0,54.92329646806993,4759.0,84.89118801284337,63505305.789559685,2895538092.395012,314412772.4074062,14335718062.01487
15,903210,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Termostaty,LSE Navigator,IN,,N,0.04,CZE,903210.0,213748876.0,2023.0,1341.0,25.0,1.0,1.602259514841681,1.691390836154093,0.3587606131516666,1.3773197299057687,0.0,4.008779568901476,Termostaty,"Regulating or controlling instruments and apparatus: automatic type, thermostats",0.3587606131516667,4892590538.0,1939770743.0,DEU,0.3964710980684156,0.09085669980683983,0.16734866517606267,0.043688282176864233,0.11019285488831605,3569.0,63.66393150196218,5428.0,96.82483053870853,5415.0,96.59293613985017,292530096.25251466,2654710203.7514424,1594822111.2437792,14473008371.188694
16,902511,E01. Měřící a diagnostické přístroje; Monitoring,E01c. Měření okolního prostředí (HS9025),Termometry,LSE Navigator,IN,,N,0.04,CZE,902511.0,1139536.0,2023.0,1341.0,19.0,0.0,1.602259514841681,2.0408358870072094,0.28415134165392586,1.3773197299057687,0.3607810210199171,0.6441334790640137,"Teploměry,nekombinov,kapalinové,přímé čtení","Thermometers and pyrometers: liquid filled, for direct reading, not combined with other instruments",0.2841513416539259,162330223.0,69035410.0,DEU,0.4252776145080513,0.16962778296381237,0.19520588684079337,0.007019863454509023,0.016506543525996297,4053.0,72.29753835176597,3476.0,62.004994648590795,2446.0,43.63182304673564,1559533.7014226243,94479725.50803874,8502300.659388222,515086677.35300714
17,902519,E01. Měřící a diagnostické přístroje; Monitoring,E01c. Měření okolního prostředí (HS9025),Termometry,LSE Navigator,IN,,N,0.04,CZE,902519.0,43149979.0,2023.0,1341.0,22.0,0.0,1.602259514841681,2.058872134138091,0.30080056092663593,1.3773197299057687,0.32769888758301596,0.8700483528583798,"Teploměry,nekombinované,ostatní","Thermometers and pyrometers: (other than liquid filled, for direct reading), not combined with other instruments",0.30080056092663604,4550764979.0,1726280913.0,DEU,0.37933862130127816,0.0985764302397692,0.20541505924057957,0.0094819176993583,0.024995919653083714,4090.0,72.95754548697823,4019.0,71.69104530859794,4881.0,87.06742775597573,59053725.78503751,2362534629.837159,321950420.964575,12880119052.74533
18,903120,E01. Měřící a diagnostické přístroje; Monitoring,E01i. Ostatní,Ostatní,LSE Navigator,IN,,N,0.04,CZE,903120.0,58725782.00000001,2023.0,1341.0,16.0,1.0,1.602259514841681,2.214674743790455,0.3758920856194854,1.3773197299057687,0.0,3.28027321296978,Zařízení zkušební,Test benches,0.3758920856194854,1642729283.0,1183594146.0,DEU,0.720504685859429,0.13770355794669814,0.24764119786406713,0.035748910430788254,0.04961648568342954,4317.0,77.00677845165895,5554.0,99.07242240456654,5025.0,89.63610417409919,80370287.70604713,1619830316.4564612,438164529.2660249,8831027091.714382
19,860610,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.05,Y,0.05,CZE,860610.0,22549839.0,2023.0,1341.0,15.0,1.0,1.602259514841681,1.438192085829033,0.38933257055197473,1.3773197299057687,0.0,2.1192192712462328,"Vagóny cisternové ap,bez pohonu","Railway or tramway goods vans and wagons: tank wagons and the like, not self-propelled",0.3893325705519747,976370746.0,490558218.0,ROU,0.5024302704784234,0.1404085001241528,0.18332301088047095,0.023095570091978154,0.045967712235940976,3216.0,57.36710667142347,5588.0,99.67891544773457,4526.0,80.73492686407421,33316382.38711692,724777909.679562,177558882.68195513,3862686961.0257964
