,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,SVK_WorldMarketShare,SVK_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
0,SVK,10121,1216381.0,2023,892,11,0,1.440183635429462,1.4163551376367878,0.15446653533014598,1.3388350796716446,0.37764397060401245,0.14577168105041305,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.15446653533014598,1553094744.0,875600650.0,IRL,0.5637780009124801,0.19534655175964766,0.3934560795286141,0.0007831981948938976,0.0013891960907064197,3178.0,56.689261505529785,1262.0,22.511594719942916,3455.0,61.63039600428113
1,SVK,10129,2067324.9999999998,2023,892,19,0,1.440183635429462,0.9964695467835857,0.17878136945513648,1.3388350796716446,0.31952402336592545,0.1781784147721801,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.1787813694551365,2159509655.0,905709379.0,DEU,0.4194051074988132,0.14941093092992783,0.19003062166901158,0.0009573122283632484,0.002282547854679994,2577.0,45.96860506600071,2850.0,50.8383874420264,3805.0,67.8737067427756
2,SVK,10130,0.0,2023,892,21,0,1.440183635429462,1.6635067780630561,0.20075828586243719,1.3388350796716446,0.5548493330379382,0.0,"Osli, živí",Asses: live,0.20075828586243719,1063355.0,552677.0,IRL,0.5197483436857869,0.08991030571371642,0.13680262970792245,0.0,0.0,3520.0,62.78986799857296,4074.0,72.67213699607564,181.5,3.2376025686764183
3,SVK,10190,0.0,2023,892,13,0,1.440183635429462,1.1856603889969453,0.15786729105079395,1.3388350796716446,0.36547947343104215,0.0,Koně ostatní,Mules and hinnies: live,0.15786729105079392,17406353.0,3038011.0,FRA,0.17453460813991306,0.40896471069015755,0.2136137251440303,0.0,0.0,2827.0,50.4281127363539,1467.0,26.168391009632536,181.5,3.2376025686764183
4,SVK,10221,9784102.0,2023,892,34,1,1.440183635429462,0.04848957822481723,0.2510900519952852,1.3388350796716446,-0.0,1.7048981089708553,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.25109005199528533,1068129788.0,741787875.0,DEU,0.6944735399514951,0.062397056683631706,0.09722119769124045,0.009160031027989644,0.01318989205640494,1575.0,28.094898323225117,5478.0,97.71673207277917,4716.0,84.12415269354263
5,SVK,10229,78202535.0,2023,892,36,1,1.440183635429462,0.003700519419300278,0.25495514054378543,1.3388350796716446,-0.0,1.6086747702697946,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.2549551405437855,9048030690.0,4163319684.0000005,FRA,0.4601354511983867,0.09555351886995458,0.23177934496671423,0.008643044843606736,0.018783696889897537,1533.0,27.345701034605778,5523.0,98.51944345344275,5383.0,96.02211915804494
6,SVK,10231,0.0,2023,892,7,0,1.440183635429462,0.15730135014186553,0.15481033804650493,1.3388350796716446,-0.035826515453677106,0.0,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.15481033804650496,18538511.0,631383.0,NLD,0.03405791328116913,0.6194544964626779,0.19318794407899037,0.0,0.0,1679.0,29.950053514092044,1288.0,22.97538351765965,181.5,3.2376025686764183
7,SVK,10239,28026.999999999996,2023,892,9,0,1.440183635429462,-0.8888567707559378,0.1609108575832345,1.3388350796716446,-0.14253100919655012,0.052226029674317345,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.16091085758323453,99882887.0,1989890.0,FRA,0.019922231523003535,0.6747691700436501,0.27595015970680603,0.00028059861745886454,0.01408469814914392,802.0,14.306100606493043,1653.0,29.48626471637531,1522.0,27.149482697110237
8,SVK,10290,130384.00000000001,2023,892,21,0,1.440183635429462,-0.9774099128001927,0.19124546339445228,1.3388350796716446,-0.10509871670596845,0.08273559293468778,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.19124546339445234,293314411.0,74507994.0,FRA,0.2540209113694042,0.10431514324180519,0.33168874419445027,0.0004445195841400374,0.0017499330340312212,752.0,13.414199072422406,3578.0,63.824473778094905,2174.0,38.77987870139137
9,SVK,10310,2354837.9999999995,2023,892,20,1,1.440183635429462,1.4245674089513813,0.24178829646755978,1.3388350796716446,0.0,2.361046412002139,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.24178829646755978,185634202.0,134092625.0,DNK,0.7223487027460597,0.15094761421979577,0.24579917826233216,0.012685367107080837,0.017561279003972065,3195.0,56.99250802711381,5329.0,95.05886550124866,3905.0,69.65750981091688
10,SVK,10391,19811018.0,2023,892,10,1,1.440183635429462,2.3364922668598958,0.25203824892163995,1.3388350796716446,0.0,1.4246342686508038,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg",0.25203824892163995,2588242058.0,2405554519.0,DNK,0.9294163625711394,0.3900952603864967,0.44606646341674966,0.007654236951588861,0.00823553066185984,4472.0,79.77167320727791,5489.0,97.9129504102747,5003.0,89.2436674991081
11,SVK,10392,58933601.0,2023,892,20,1,1.440183635429462,2.1350813872156054,0.23398897078539618,1.3388350796716446,0.0,4.974698483306482,"Dobytek vepřový ostatní živý,nad 50kg","Swine: live, other than pure-bred breeding animals, weighing 50kg or more",0.23398897078539618,2204944688.0,1404967361.0,NLD,0.6371893901222433,0.0984109429686867,0.10697278485963171,0.026727927154243426,0.041946597932391395,4203.0,74.97324295397789,5156.0,91.97288619336426,5332.0,95.1123795932929
12,SVK,10410,1955018.0,2023,892,27,0,1.440183635429462,-2.2505452440198384,0.2026086406260918,1.3388350796716446,-0.37962085517499194,0.15530322658417056,Ovce živé,Sheep: live,0.2026086406260918,2342997180.0,764449293.0,ROU,0.3262698305936501,0.13672219881919584,0.2668269570302944,0.0008344090281832947,0.002557420116549182,183.0,3.264359614698537,4155.0,74.11701748127007,3766.0,67.1780235462005
13,SVK,10420,316.0,2023,892,17,0,1.440183635429462,-2.8919031885786652,0.15194231544948572,1.3388350796716446,-0.3792148596320876,0.00010860594034951961,Kozy živé,Goats: live,0.15194231544948572,541545544.0,8607918.0,ESP,0.01589509524244188,0.29842636624637475,0.13691304474259294,5.835150958235933e-07,3.671038687868542e-05,84.0,1.4983945772386729,1115.0,19.88940420977524,683.0,12.183374955404922
14,SVK,10511,5718678.0,2023,892,35,0,1.440183635429462,-0.40719843184161014,0.20236983275896128,1.3388350796716446,-0.09686550384722228,0.5856433913771847,"Kohouti,slepice domácí živí,do 185g","Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",0.20236983275896125,1817455897.0,952549971.0,NLD,0.5241117391471976,0.07997155648337154,0.12057339781917062,0.003146529172696618,0.006003546453312527,1172.0,20.90617195861577,4143.0,73.90296111309311,4440.0,79.2008562254727
15,SVK,10512,1658910.0,2023,892,10,1,1.440183635429462,2.7548507611322517,0.22899905323484768,1.3388350796716446,0.0,1.7095558973030083,Krocani a krůty,"Poultry: live, turkeys, weighing not more than 185g",0.22899905323484765,180609672.0,109882462.0,FRA,0.6083974395346889,0.15520268765890846,0.29128290669993945,0.009185056268747336,0.015097131696958156,5006.0,89.29718159115234,5030.0,89.72529432750625,3647.0,65.05529789511239
