loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,SVK_WorldMarketShare,SVK_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
SVK,10121,1313179.0,2022,944,12,0,1.424543887686974,0.8804833165852869,0.16016636804858955,1.3418107482751265,0.25433448665159275,0.18706590486846725,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.16016636804858955,1507629183.0,629207028.0,IRL,0.4173486657693598,0.18548820384525044,0.27169737564478785,0.0008710225397646737,0.002087038036072286,2389.0,42.61505529789511,1107.0,19.746699964323938,3508.0,62.575811630396004
SVK,10129,863833.0000000001,2022,944,22,0,1.424543887686974,1.2656961726686062,0.19354417000151963,1.3418107482751265,0.26204315852072413,0.0696624297028442,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.19354417000151958,2663154845.0,947547238.0,DEU,0.3557987774458529,0.12795518592505226,0.1824429448111975,0.0003243645414091572,0.0009116516468596367,2903.0,51.783803068141275,3071.0,54.780592222618615,3256.0,58.08062789867998
SVK,10130,0.0,2022,944,12,0,1.424543887686974,2.0957208234920226,0.18068351855079043,1.3418107482751265,0.5915149810240673,0.0,"Osli, živí",Asses: live,0.1806835185507904,1981590.0,1588164.0,ITA,0.8014594340908059,0.23387072029083578,0.34176213833503477,0.0,0.0,4181.0,74.5808062789868,2262.0,40.34962540135569,161.0,2.8719229397074564
SVK,10190,518.0,2022,944,16,0,1.424543887686974,0.44623145920249113,0.17442090356627454,1.3418107482751265,0.21322146400738812,0.0062825976981606595,Koně ostatní,Mules and hinnies: live,0.17442090356627457,17707439.0,6957848.0,IRL,0.3929336139460935,0.2516402636472521,0.18450583059392442,2.925324209785503e-05,7.444830643037905e-05,1898.0,33.85658223332144,1903.0,33.94577238672851,696.0,12.41526935426329
SVK,10221,13348575.0,2022,944,30,1,1.424543887686974,0.13182970108510983,0.26938657295555146,1.3418107482751265,0.0,2.4052233331919974,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.26938657295555146,1191913512.0,604671188.0,FRA,0.5073112955866885,0.06955491014612958,0.10446194943828385,0.011199281546528855,0.022075758304528313,1572.0,28.041384231180878,5540.0,98.82268997502676,4869.0,86.85337138779879
SVK,10229,70812902.0,2022,944,40,1,1.424543887686974,-0.07831387469914905,0.2602635463114088,1.3418107482751265,-0.0,2.0119964479294334,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.26026354631140886,7558757778.0,3534222549.0,FRA,0.4675665833989898,0.08427159764700046,0.19452092059076065,0.009368325335957075,0.020036344915527842,1371.0,24.45594006421691,5436.0,96.96753478415982,5378.0,95.93292900463788
SVK,10231,0.0,2022,944,8,0,1.424543887686974,0.06587267351625017,0.1930794493614216,1.3418107482751265,0.031775992266269176,0.0,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.19307944936142157,9226054.0,614784.0,ITA,0.06663563859478819,0.6413339550871109,0.3029640211568552,0.0,0.0,1513.0,26.988940420977524,3030.0,54.049232964680705,161.0,2.8719229397074564
SVK,10239,351538.0,2022,944,7,0,1.424543887686974,0.22233272621693748,0.19022887798684163,1.3418107482751265,0.038274267141447806,0.7948185224889346,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.19022887798684163,94988175.0,3214710.0,ITA,0.033843265227487526,0.5687386171135478,0.21967642547543198,0.0037008606597610703,0.1093529431892768,1665.0,29.700321084552268,2861.0,51.03460577952193,2677.0,47.75240813414199
SVK,10290,5444934.0,2022,944,24,1,1.424543887686974,-0.1624572960519347,0.2563171342989904,1.3418107482751265,-0.0,3.143192147963074,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.25631713429899033,372037686.0,99565294.0,FRA,0.26762152799756955,0.0928356370945973,0.14612910006552515,0.014635436690679772,0.05468706796567085,1299.0,23.171601855155192,5382.0,96.00428112736354,4437.0,79.14734213342847
SVK,10310,1438588.0,2022,944,17,1,1.424543887686974,1.6484566073412263,0.25780431045640173,1.3418107482751265,0.0,1.5655421934754985,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.25780431045640173,197349896.0,161477360.0,DNK,0.818228756502613,0.15965749199737075,0.22554555254512232,0.007289530063902339,0.008908914537616915,3498.0,62.39743132358188,5406.0,96.43239386371745,3572.0,63.71744559400641
