HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
853225,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Kondenzátory el.pevné,papírové,plast.dielekt","Electric capacitors, fixed, paper/plastic dielectric",#ED4FDD,#FF5555
853229,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,Kondenzátory elektrické pevné ostatní,"Electric capacitors, fixed, nes",#ED4FDD,#FF5555
853230,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Kondenzátory elektrické otočné,dolaďovací","Electric capacitors, variable or adjustable (pre-set)",#ED4FDD,#FF5555
853290,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Části kondenzátorů el.pevných,otočných,dolaď.",Parts of electrical capacitors,#ED4FDD,#FF5555
853310,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpory uhlíkové stálé,aglomerované,vrstvené","Electrical resistors, fixed carbon",#ED4FDD,#FF5555
853321,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpory stálé,do 20W","Electrical resistors fixed, power capacity < 20 watt",#ED4FDD,#FF5555
853329,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpory stálé,nad 20W","Electrical resistors, fixed, except heating, > 20 wat",#ED4FDD,#FF5555
853331,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpory proměnné drátové,vč reostatů ap,do 20W","Wirewound variable resistors, rheostats, etc, <20 wat",#ED4FDD,#FF5555
853339,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpory proměn.drátové,vč reostatů ap,nad 20W","Wirewound variable resistors, rheostats, etc > 20 wat",#ED4FDD,#FF5555
853340,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpory proměn.drátové,vč reostatů,potenc,ost.","Variable resistors, rheostats and potentiometers, nes",#ED4FDD,#FF5555
853390,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Části odporů elektr,reostatů,potenciometrů","Parts of electrical resistors, rheostats, etc",#ED4FDD,#FF5555
853400,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,Obvody tištěné,Electronic printed circuits,#ED4FDD,#FF5555
853510,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Pojistky,nad 1000V","Electrical fuses, for voltage > 1kV",#ED4FDD,#FF5555
853521,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Vypínače elektr.obvodů automatické,do 72,5kV",Automatic circuit breakers for voltage 1-72.5 kV,#ED4FDD,#FF5555
853529,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Vypínače elektr.obvodů automatické,nad 72,5kV",Automatic circuit breakers for voltage > 72.5 kV,#ED4FDD,#FF5555
853530,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpojovače,vypínače zátěže,nad 1000V","Isolating and make-and-break switches, voltage >1 kV",#ED4FDD,#FF5555
853540,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Bleskojistky,omezovače napětí,proudu,nad1000V",Lightning arresters & voltage or surge limiters > 1kV,#ED4FDD,#FF5555
853590,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Zařízení el.k ochraně,spínání el.obvodů,>1000V,ost.","Electrical apparatus for voltage > 1kV, nes",#ED4FDD,#FF5555
853620,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Vypínače elektr.obvodů automatické,do 1000V","Automatic circuit breakers for < 1,000 volts",#ED4FDD,#FF5555
