HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
847990,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba komponent a zařízení pro nízkouhlíkové technologie,Ostatní stroje,IN,"Části a součásti strojů a mechanických<br>zařízení, jinde neuvedené ani nezahrnuté",Parts of machines and mechanical appliances nes,#99E9F4,#C3A8FE
848110,Voda a ovzduší,"Distribuce vody, odpadní vody, voda v krajině",Ventily,IN,Ventily redukční,"Valves, pressure reducing",#A379FD,#8EE0C7
848130,Voda a ovzduší,"Distribuce vody, odpadní vody, voda v krajině",Ventily,IN,Ventily zpětné,"Valves, check",#A379FD,#8EE0C7
848140,Voda a ovzduší,"Distribuce vody, odpadní vody, voda v krajině",Ventily,IN,"Ventily pojistné,odvzdušňovací","Valves, safety or relief",#A379FD,#8EE0C7
848180,Voda a ovzduší,"Distribuce vody, odpadní vody, voda v krajině",Ventily,IN,Kohouty aj výrobky armaturní pro potrubí<br>ap,"Taps, cocks, valves and similar appliances, nes",#A379FD,#8EE0C7
848210,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,Ložiska kuličková,"Bearings, ball",#33D3E9,#FFBB9E
848220,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Ložiska kuželíková vč souborů válečk,kuželík.","Bearings, tapered roller, including assemblies",#33D3E9,#FFBB9E
848230,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,Ložiska soudečková,"Bearings, spherical roller",#33D3E9,#FFBB9E
848240,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,Ložiska jehlová,"Bearings, needle roller",#33D3E9,#FFBB9E
848250,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,Ložiska válečková ostatní,"Bearings, cylindrical roller, nes",#33D3E9,#FFBB9E
848280,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Ložiska ost.vč kombin.kuličkových,válečkových","Bearings, ball or roller, nes, including combinations",#33D3E9,#FFBB9E
848291,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Kuličky,jehly,válečky","Balls, needles and rollers for bearings",#33D3E9,#FFBB9E
848299,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Části,součásti ložisek ostatní","Bearing parts, nes",#33D3E9,#FFBB9E
848310,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Hřídele převodové(vč vačkových,klik.),kliky","Transmission shafts and cranks, cam and crank shafts",#33D3E9,#FFBB9E
848320,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Pouzdra ložisková s ložisky kuličk,válečkov.",Bearing housings etc incorporating ball/roller bearin,#33D3E9,#FFBB9E
848330,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Pouzdra ložisková bez ložisek,pánve ložiskové","Bearing housings, shafts, without ball/roller bearing",#33D3E9,#FFBB9E
848340,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Kola,převody ozubené,šrouby kuličk,převodovky","Gearing, ball screws, speed changers, torque converte",#33D3E9,#FFBB9E
848350,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Setrvačníky,řemenice vč kladnic ke kladkostr.",Flywheels and pulleys including pulley blocks,#33D3E9,#FFBB9E
848360,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Spojky,i hřídelové(vč kloubů kardanových)","Clutches, shaft couplings, universal joints",#33D3E9,#FFBB9E
848390,Výroba nízkoemisní elektřiny a paliv,Větrná / mechanická energie,"Ložiska, hřídele, převody, spojky",IN,"Části hřídelí převod,kol,převodů ozub,spojek",Parts of power transmission etc equipment,#33D3E9,#FFBB9E
848510,"Výroba, nízkoemisní výrobní postupy",Výrobní postupy s nižší materiálovou náročností,Stroje pro aditivní výrobu,IN,Stroje pro aditivní výrobu nanášením vrstev<br>kovu,Machines for additive manufacturing; by metal deposit,#1CC08F,#D1BCFE
848520,"Výroba, nízkoemisní výrobní postupy",Výrobní postupy s nižší materiálovou náročností,Stroje pro aditivní výrobu,IN,Stroje pro aditivní výrobu nanášením vrstev<br>plastů nebo kaučuku,Additive manufacturing machines for plastics/rubber,#1CC08F,#D1BCFE
848530,"Výroba, nízkoemisní výrobní postupy",Výrobní postupy s nižší materiálovou náročností,Stroje pro aditivní výrobu,IN,"Stroje pro aditivní výrobu nanášením vrstev<br>sádry, cementu, keramiky nebo skla",Additive manufacturing machines for plaster/cement/ceramics/glass,#1CC08F,#D1BCFE
